vs_name,vs_id,ftm_name,ftm_id 
american association of university women,164,American Association Of University Women,10838350
american association of university women,164,American Association Of University Women,16620982
american association of university women,164,American Association Of University Women,27628003
american association of university women,164,American Association Of University Women,27638168
american association of university women,164,American Association Of University Women,27652259
american association of university women,164,American Association Of University Women,29317981
american association of university women,164,American Association Of University Women,39485935
american association of university women,164,American Association Of University Women,43493016
american association of university women,164,American Association Of University Women,47368434
american association of university women,164,American Association Of University Women,50303941
american association of university women,164,American Association Of University Women,8658507
national parent teacher association,182,TimeoutException,TimeoutException
national organization for marriage,2059,National Organization For Marriage,14423
jewish voice for peace action,3217,TimeoutException,TimeoutException
united association,3287,Arlington United Educators Association,11591516
united association,3287,"Article 28 Cp Working Group (The) (United Cerebral Palsy Associations Of New York State, Inc(Fka Article 28 Cp Working Group))",39436010
united association,3287,Association Of Churches United For Property Rights; The,24577048
united association,3287,Association Of Public Treasurers Of The United States & Canada,43618890
united association,3287,Association Of The United States Army,45398001
united association,3287,Association Of The United States Army,48636699
united association,3287,"Association Of The United States Army, (Inc)",39485734
united association,3287,Association Of The United States Navy,39487013
united association,3287,Association Of United States Postal Lessors,39497842
united association,3287,Association Of United States Postal Lessors Pac,32158501
national housing institute,862,TimeoutException,TimeoutException
new politics,2890,New Politics,16741336
new politics,2890,New Politics,27334277
new politics,2890,New Politics,29480886
new politics,2890,New Politics,44752543
national network for youth,1447,National Network For Youth,41694538
national network for youth,1447,National Network For Youth,41695632
newpolicyorg,1931,TimeoutException,TimeoutException
iraq and afghanistan veterans of america,1250,TimeoutException,TimeoutException
grassroots netroots alliance,1811,TimeoutException,TimeoutException
latin america working group,1065,TimeoutException,TimeoutException
students for trump,3049,TimeoutException,TimeoutException
national shooting sports foundation,2879,National Shooting Sports Foundation,206154
american muslim women pac,2611,TimeoutException,TimeoutException
liberty for all,2409,Liberty For All,16741327
global exchange,2136,Global Exchange,41693194
poder pac,2211,Poder Pac (Federal),16155258
poder pac,2211,Poder Pac 07-08,49888594
poder pac,2211,Poder Pac-Az,8489658
poder pac,2211,Poder-Pac,16040805
national breast cancer coalition nbcc,401,National Breast Cancer Coalition Nbcc,41732183
international longshoremens association,2609,"District Council Of Hampton Roads, International Longshoremens Association",43996534
international longshoremens association,2609,International Longshoremens Association / Ila,1569
international longshoremens association,2609,International Longshoremens Association Committe E On Political Education,54410353
international longshoremens association,2609,International Longshoremens Association Committee On Political Education,46959688
international longshoremens association,2609,International Longshoremens Association Local 1,44269563
international longshoremens association,2609,International Longshoremens Association Local 1351,43297933
international longshoremens association,2609,International Longshoremens Association Local 1416,54313862
international longshoremens association,2609,International Longshoremens Association Local 1416Itt,52466684
international longshoremens association,2609,International Longshoremens Association Local 333,48799512
international longshoremens association,2609,International Longshoremens Association Nys,55440247
consumer federation of america,1316,Consumer Federation Of America,39485693
consumer federation of america,1316,Consumer Federation Of America,8616103
independence hall foundation,2573,TimeoutException,TimeoutException
americas voice,2344,Americas Voice,18929595
americas voice,2344,Americas Voice,41697827
the arc,1692,Alaska Chapter Of The American Institute Of Architects Aia Alaska,54465201
the arc,1692,"Arc Baltimore, The",53408693
the arc,1692,"Arc Central Chesapeake Region, The",48114826
the arc,1692,"Arc Jacksonville, Inc, The",29464519
